0,0,0,360,0
1,0,0,360,0
2,0,78,360,0
3,63,55,360,0
4,47,43,360,1
5,38,36,360,2
6,33,31,360,3
7,29,27,360,4
8,26,25,360,5
9,24,23,360,6
10,23,22,360,8
11,22,22,360,12
12,21,30,360,16
13,32,34,360,19
14,37,39,360,23
15,44,45,360,27
16,50,54,360,30
17,60,65,360,35
18,71,75,360,39
19,82,86,360,43
20,94,96,360,47
21,94,96,360,52
22,99,98,360,56
23,102,102,360,61
24,106,105,360,66
25,108,106,360,70
26,110,109,360,75
27,113,111,360,80
28,116,114,360,85
29,120,117,360,90
30,124,120,360,95
31,128,123,360,100
32,130,125,360,105
33,133,128,360,111
34,135,129,360,116
35,138,133,360,121
36,141,135,360,127
37,144,137,360,132
38,146,138,360,138
39,145,139,360,143
40,145,142,360,148
41,146,143,360,154
42,146,145,360,159
43,148,146,360,165
44,148,149,360,170
45,148,150,360,176
46,148,151,360,181
47,148,151,360,187
48,148,151,360,192
49,149,151,360,198
50,149,149,360,203
51,150,147,360,209
52,150,146,360,214
53,150,145,360,220
54,150,145,360,225
55,149,144,360,231
56,149,144,360,236
57,150,144,360,242
58,148,144,360,247
59,147,144,360,252
60,147,146,360,258
61,146,146,360,263
62,145,147,360,269
63,144,146,360,274
64,144,146,360,280
65,145,146,360,285
66,145,145,360,291
67,146,146,360,297
68,147,147,360,302
69,148,147,360,308
70,150,146,360,313
71,151,148,360,319
72,152,148,360,325
73,153,150,360,330
74,153,150,360,336
75,152,152,360,342
76,153,153,360,347
77,152,153,360,353
78,152,153,360,359
79,152,153,360,364
80,150,154,360,370
81,150,152,360,375
82,149,153,360,381
83,149,153,360,386
84,148,153,360,392
85,148,152,360,397
86,147,152,360,403
87,146,152,360,409
88,146,151,360,414
89,146,151,360,420
90,147,152,360,425
91,148,153,360,431
92,148,152,360,436
93,148,152,360,442
94,149,153,360,448
95,150,154,360,454
96,150,154,360,459
97,150,152,360,464
98,150,151,360,469
99,151,150,360,475
100,151,149,360,481
101,151,148,360,486
102,150,148,360,492
103,150,147,360,497
104,149,146,360,503
105,148,146,360,508
106,147,146,360,514
107,149,148,360,519
108,150,149,360,525
109,149,151,360,530
110,148,152,360,536
111,149,151,360,541
112,149,150,360,547
113,150,151,360,552
114,150,151,360,558
115,152,152,360,564
116,153,151,360,570
117,152,151,360,575
118,151,151,360,581
119,150,150,360,586
120,151,150,360,592
121,151,151,360,597
122,151,152,360,603
123,150,152,360,608
124,150,152,360,614
125,149,152,360,619
126,149,152,360,625
127,150,150,360,630
128,151,148,360,636
129,152,148,360,641
130,152,148,360,647
131,152,147,360,652
132,153,147,360,658
133,153,147,360,663
134,153,146,360,669
135,154,144,360,674
136,154,144,360,680
137,153,145,360,685
138,153,145,360,691
139,153,146,360,696
140,153,147,360,702
141,151,147,360,707
142,149,147,360,712
143,148,147,360,718
144,148,149,360,723
145,147,151,360,729
146,146,151,360,734
147,145,153,360,740
148,144,155,360,745
149,145,154,360,751
150,145,154,360,757
151,146,154,360,762
152,147,154,360,768
153,148,154,360,774
154,149,154,360,779
155,150,154,360,785
156,152,154,360,790
157,153,152,360,795
158,154,150,360,801
159,152,149,360,806
160,152,148,360,812
161,151,148,360,817
162,152,147,360,824
163,152,147,360,829
164,151,146,360,835
165,151,144,360,840
166,149,143,360,846
167,149,144,360,851
168,148,145,360,857
169,149,145,360,862
170,149,145,360,868
171,150,144,360,873
172,149,143,360,879
173,148,144,360,885
174,148,145,360,890
175,147,146,360,896
176,146,146,360,901
177,145,147,360,907
178,147,148,360,913
179,147,149,360,918
180,147,149,360,924
181,147,151,360,929
182,148,152,360,935
183,149,152,360,940
184,150,152,360,946
185,150,152,360,951
186,151,152,360,957
187,153,150,360,963
188,153,150,360,968
189,153,150,360,974
190,152,151,360,979
191,151,151,360,985
192,152,151,360,991
193,151,151,360,997
194,151,158,360,1002
